Year,National Health Expenditures,Health Consumption Expenditures,Total,Hospital Care,Physician and Clinical Services,Other Professional Services,Dental Services,Other Health Residential and Personal,Home Health Care,Nursing Care,Prescription Drugs,Durable Medical Equipment,Other Non-Durable Equipment
2009-12-31,2486.2932348895,2330.0637575353,2089.8622862518,759.07421932329,505.88760596498,66.780875256944,102.2219194107,122.6226568953,68.263527039962,136.9706982679,249.90356176206,34.877537452275,43.259684879263
2009-01-01,2486.2932348895,2330.0637575353,2089.8622862518,759.07421932329,505.88760596498,66.780875256944,102.2219194107,122.6226568953,68.263527039962,136.9706982679,249.90356176206,34.877537452275,43.259684879263
2008-12-31,2391.3837135019,2234.166420881,1997.1993433696,722.14380359084,486.48618440237,63.421481200867,102.27357055,113.25127523161,62.0803588003,132.82391668086,237.22814321167,35.146931625366,42.343678075689
2008-01-01,2391.3837135019,2234.166420881,1997.1993433696,722.14380359084,486.48618440237,63.421481200867,102.27357055,113.25127523161,62.0803588003,132.82391668086,237.22814321167,35.146931625366,42.343678075689
2007-12-31,2283.4854134821,2135.1200625061,1904.3441453131,686.75573192361,462.60352957626,59.491578,97.31769475,108.28272276223,57.771687028005,126.51826169845,230.19144800168,34.355431608148,41.05605996471
2007-01-01,2283.4854134821,2135.1200625061,1904.3441453131,686.75573192361,462.60352957626,59.491578,97.31769475,108.28272276223,57.771687028005,126.51826169845,230.19144800168,34.355431608148,41.05605996471
2006-12-31,2152.0647778097,2016.9118462819,1798.8222392123,648.33964024037,441.62260739973,55.394167722755,91.359916677306,102.06540930379,52.59111378078,117.01843253602,219.78015504864,31.932009786317,38.718786716584
2006-01-01,2152.0647778097,2016.9118462819,1798.8222392123,648.33964024037,441.62260739973,55.394167722755,91.359916677306,102.06540930379,52.59111378078,117.01843253602,219.78015504864,31.932009786317,38.718786716584
2005-12-31,2021.0458303892,1890.3404371973,1692.5911659955,606.54313966772,419.58051248878,53.058767249742,86.786378734648,96.457865875528,48.709555428175,112.14988918621,201.71582297748,30.36459083807,37.224643549112
2005-01-01,2021.0458303892,1890.3404371973,1692.5911659955,606.54313966772,419.58051248878,53.058767249742,86.786378734648,96.457865875528,48.709555428175,112.14988918621,201.71582297748,30.36459083807,37.224643549112
2004-12-31,1894.6865870585,1772.9239351639,1585.0198283465,564.51352526437,393.6162776107,50.119178423233,81.761446576107,90.710251868104,43.80853213938,105.43830417333,190.29324818965,28.928951183659,35.830112917974
2004-01-01,1894.6865870585,1772.9239351639,1585.0198283465,564.51352526437,393.6162776107,50.119178423233,81.761446576107,90.710251868104,43.80853213938,105.43830417333,190.29324818965,28.928951183659,35.830112917974
2003-12-31,1772.2308460442,1658.2139160644,1478.9847357711,525.81329037481,368.44120568766,46.805769321545,75.965189900326,83.961357340626,39.797644999327,100.14137961936,175.16193538158,27.793465605823,35.10349754004
2003-01-01,1772.2308460442,1658.2139160644,1478.9847357711,525.81329037481,368.44120568766,46.805769321545,75.965189900326,83.961357340626,39.797644999327,100.14137961936,175.16193538158,27.793465605823,35.10349754004
2002-12-31,1636.9588395596,1531.5529093889,1371.6167855076,486.47737033621,340.82847895753,43.67057632,73.36582175,77.662605591274,36.627959671019,94.479760588248,158.17442108451,27.037575512031,33.292215696743
2002-01-01,1636.9588395596,1531.5529093889,1371.6167855076,486.47737033621,340.82847895753,43.67057632,73.36582175,77.662605591274,36.627959671019,94.479760588248,158.17442108451,27.037575512031,33.292215696743
2001-12-31,1495.320832369,1401.3569916091,1264.099586478,449.35646918322,314.69807589181,40.611933676,67.540515203947,70.684872944311,34.419636400458,90.780838788696,138.69401139424,25.062769911829,32.250463083502
2001-01-01,1495.320832369,1401.3569916091,1264.099586478,449.35646918322,314.69807589181,40.611933676,67.540515203947,70.684872944311,34.419636400458,90.780838788696,138.69401139424,25.062769911829,32.250463083502
2000-12-31,1378.0227617611,1288.4592711176,1164.3949082845,415.52963407089,290.01876378342,37.014882632,62.011791737568,64.70263161358,32.42510026584,85.119946171017,120.89656587363,25.107336071439,31.568256065119
2000-01-01,1378.0227617611,1288.4592711176,1164.3949082845,415.52963407089,290.01876378342,37.014882632,62.011791737568,64.70263161358,32.42510026584,85.119946171017,120.89656587363,25.107336071439,31.568256065119
1999-12-31,1286.8359834125,1199.9877852481,1088.7858345481,393.62286813827,271.13175222604,34.993881532,57.190229072915,59.840236317299,32.87147008937,80.792664902231,104.7362872525,22.982093574203,30.624351443275
1999-01-01,1286.8359834125,1199.9877852481,1088.7858345481,393.62286813827,271.13175222604,34.993881532,57.190229072915,59.840236317299,32.87147008937,80.792664902231,104.7362872525,22.982093574203,30.624351443275
1998-12-31,1208.5898145346,1128.4934302542,1028.3240495473,374.91589518443,257.93897897584,33.791180402,53.511717465865,56.245838963744,34.175027677111,79.411603277211,88.426819145694,21.33288931106,28.574099144334
1998-01-01,1208.5898145346,1128.4934302542,1028.3240495473,374.91589518443,257.93897897584,33.791180402,53.511717465865,56.245838963744,34.175027677111,79.411603277211,88.426819145694,21.33288931106,28.574099144334
1997-12-31,1142.365367545,1070.1800863811,974.45041420653,363.40280291246,242.86212541621,31.677093346,50.18987825,50.542279340751,36.976933004093,74.390778817589,77.621246803633,19.206505093161,27.580771222638
1997-01-01,1142.365367545,1070.1800863811,974.45041420653,363.40280291246,242.86212541621,31.677093346,50.18987825,50.542279340751,36.976933004093,74.390778817589,77.621246803633,19.206505093161,27.580771222638
1996-12-31,1081.5931887855,1013.8527337244,921.67873708675,350.79771810322,231.2801443674,29.205832728436,46.8394295,46.5998802734,35.822312572896,69.568926948901,68.137323204835,17.423169387668,26.004
1996-01-01,1081.5931887855,1013.8527337244,921.67873708675,350.79771810322,231.2801443674,29.205832728436,46.8394295,46.5998802734,35.822312572896,69.568926948901,68.137323204835,17.423169387668,26.004
1995-12-31,1027.2969112174,961.43543576241,872.72746905485,339.31168563372,222.28380673506,26.97253462058,44.50719725,42.055288094281,32.358134423574,64.478033585005,59.808203508863,15.852585203771,25.1
1995-01-01,1027.2969112174,961.43543576241,872.72746905485,339.31168563372,222.28380673506,26.97253462058,44.50719725,42.055288094281,32.358134423574,64.478033585005,59.808203508863,15.852585203771,25.1
1994-12-31,972.51562251208,908.58947621103,822.98228710935,328.36510584693,212.17393882568,24.226906861188,41.452329,38.073768487968,27.375013379901,58.634319929083,53.059439025489,15.311465753106,24.31
1994-01-01,972.51562251208,908.58947621103,822.98228710935,328.36510584693,212.17393882568,24.226906861188,41.452329,38.073768487968,27.375013379901,58.634319929083,53.059439025489,15.311465753106,24.31
1993-12-31,921.29601784507,860.11554547251,780.99569551341,315.74831716822,202.75876840252,23.181025466182,38.8979575,34.120203763138,22.800228387829,56.023827372499,49.589068996662,14.13429845636,23.742
1993-01-01,921.29601784507,860.11554547251,780.99569551341,315.74831716822,202.75876840252,23.181025466182,38.8979575,34.120203763138,22.800228387829,56.023827372499,49.589068996662,14.13429845636,23.742
1992-12-31,857.68508554756,800.78754295747,733.44765131997,298.47638404379,191.25999423744,21.048057842516,37.0326165,30.140001770808,18.729924614244,53.050458581325,47.003236749241,13.493976980599,23.213
1992-01-01,857.68508554756,800.78754295747,733.44765131997,298.47638404379,191.25999423744,21.048057842516,37.0326165,30.140001770808,18.729924614244,53.050458581325,47.003236749241,13.493976980599,23.213
1991-12-31,791.23724215114,739.19051281822,677.39693016351,275.76772512766,176.51738989494,18.71306137425,33.2984215,27.836481838177,15.171670860643,49.385809822317,44.381063171602,13.07830657393,23.247
1991-01-01,791.23724215114,739.19051281822,677.39693016351,275.76772512766,176.51738989494,18.71306137425,33.2984215,27.836481838177,15.171670860643,49.385809822317,44.381063171602,13.07830657393,23.247
1990-12-31,724.02274328245,675.33626962928,616.59933482971,250.4393537596,158.94951903702,17.408369,31.52133775,24.321893248188,12.566923868,44.890344176294,40.290335375852,13.765258614759,22.446
